model,metric_name,mol_prop,task,p_value,stats_method
molbert,Precision_NPV,DOR,cutoff6,0.7195573882862554,ttest_rel
molbert,Precision_NPV,DOR,cutoff6,0.9426105124576512,wilcoxon
molbert,Precision_NPV,DOR,cutoff6,0.747320610845648,ttest_ind
molbert,Precision_NPV,DOR,cutoff6,0.7505872315223063,ranksums
molbert,AUROC,KOR,cutoff6,0.005423543224123788,ttest_rel
molbert,AUROC,KOR,cutoff6,0.006035006473812041,wilcoxon
molbert,AUROC,KOR,cutoff6,0.003768924411634668,ttest_ind
molbert,AUROC,KOR,cutoff6,0.02558535265900965,ranksums
molbert,AUPRC,KOR,cutoff6,0.029022949445323225,ttest_rel
molbert,AUPRC,KOR,cutoff6,0.03500895681985013,wilcoxon
molbert,AUPRC,KOR,cutoff6,0.01886994582409189,ttest_ind
molbert,AUPRC,KOR,cutoff6,0.04757860204719877,ranksums
molbert,Precision_PPV,KOR,cutoff6,0.6450768364985726,ttest_rel
molbert,Precision_PPV,KOR,cutoff6,0.5440062075841892,wilcoxon
molbert,Precision_PPV,KOR,cutoff6,0.608653376169922,ttest_ind
molbert,Precision_PPV,KOR,cutoff6,0.4332897956218901,ranksums
molbert,Precision_NPV,KOR,cutoff6,0.05158585153443061,ttest_rel
molbert,Precision_NPV,KOR,cutoff6,0.1588554992851956,wilcoxon
molbert,Precision_NPV,KOR,cutoff6,0.05367242152667251,ttest_ind
